Sample2,Sample1,Distance,Group1,Group2,Type
CCY17A,SRR29536175,0.9166037548494752,meat_type,meat_type,meat_type
CCY17A,CCY43A,0.23973050397486365,meat_type,meat_type,meat_type
CCY17A,SRR29536180,0.2972335938342948,meat_type,meat_type,meat_type
CCY17A,CCY34B,0.2142944591223733,meat_type,meat_type,meat_type
CCY17A,SRR29449360,0.3357260846174961,meat_type,meat_type,meat_type
CCY17A,CCY23A,0.24014274947700545,meat_type,meat_type,meat_type
CCY17A,SRR29536167,0.36203764649768927,meat_type,meat_type,meat_type
CCY17A,SRR28497695,0.20024070770524385,meat_type,meat_type,meat_type
CCY17A,SRR29449358,0.2737495245769194,meat_type,meat_type,meat_type
CCY17A,CCY28A,0.23008028700870564,meat_type,meat_type,meat_type
CCY17A,CCY33B,0.29866972881800297,meat_type,meat_type,meat_type
CCY17A,SRR28497703,0.19816415726970155,meat_type,meat_type,meat_type
CCY17A,CCY24A,0.17866220003584532,meat_type,meat_type,meat_type
