ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
tet(M),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Ligilactobacillus,g_Ligilactobacillus,s_Ligilactobacillus salivarius,33
ErmA,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus suis,32
H-NS,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,32
aad(6),aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,g_Staphylococcus,s_Staphylococcus aureus,32
tet(C),tetracycline,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,32
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_unknown,g_Gemmiger,g_Gemmiger,s_Gemmiger formicilis,32
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_unknown,Other,s_Ruminococcaceae bacterium AM07-15,32
ArnT,peptide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,31
Escherichia coli emrE,macrolide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,31
OXA-21,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,g_Pseudomonas,g_Pseudomonas,s_Pseudomonas aeruginosa,31
emrK,tetracycline,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,31
mefF,macrolide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,NA,NA,Other,NA,31
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_unknown,g_unknown,Other,s_Clostridiales bacterium,31
