SampleID,V1,V2,V3,breed,application,shape_id
SHCC258A,0.08936000060106387,-0.091326988,-0.069130129,SRD,dual_type,SRD-JiAn
SHCC259A,0.014073727582804313,-0.025766002,0.0645241079625167,SRD,dual_type,SRD-JiAn
SHCC25A,0.028777759772132983,-0.056033583,0.06449870732596225,SRD,dual_type,SRD-JiAn
SHCC260A,0.14642511752961904,-0.013204279,-0.009708579,SRD,dual_type,SRD-JiAn
SHCC261A,0.04214724071641109,-0.134877847,-0.088409751,SRD,dual_type,SRD-JiAn
SHCC262A,0.011409352529642026,-0.12987656,-0.083456727,SRD,dual_type,SRD-JiAn
SHCC263A,0.04513478248574647,-0.012706674,0.0993995792706508,SRD,dual_type,SRD-JiAn
SHCC264A,-0.024070714,-0.057389784,0.08935441474209345,SRD,dual_type,SRD-JiAn
SHCC265A,0.048403174529542535,-0.125731364,-0.223451094,SRD,dual_type,SRD-JiAn
SHCC266B,-0.010529807,-0.086935802,0.010767073587237044,SRD,dual_type,SRD-JiAn
SHCC267A,-0.023687892,-0.012249155,0.13268608646093466,SRD,dual_type,SRD-JiAn
SHCC268A,0.09655171385545543,-0.085231949,-0.059086591,SRD,dual_type,SRD-JiAn
SHCC269A,0.11993739160289539,0.22078413298080424,-0.081582455,SRD,dual_type,SRD-JiAn
SHCC26B,-0.111255793,-0.052542151,0.09008932743700526,SRD,dual_type,SRD-JiAn
SHCC270A,0.03104031046884286,-0.082827584,-0.032082389,SRD,dual_type,SRD-JiAn
SHCC271B,-0.043479595,-0.094705825,-0.005700011,SRD,dual_type,SRD-JiAn
SHCC272B,-0.037562332,-0.13276366,-0.051690674,SRD,dual_type,SRD-JiAn
SHCC273B,0.04258187943050071,0.02287942030605786,0.12399426488200413,SRD,dual_type,SRD-JiAn
SHCC274A,-0.019555514,-0.085277775,-0.054266927,SRD,dual_type,SRD-JiAn
SHCC275A,0.24243286070703396,0.11939525613993866,0.061471282884602754,SRD,dual_type,SRD-JiAn
SHCC276A,-0.080641334,-0.134265866,-0.100781793,SRD,dual_type,SRD-JiAn
SHCC277A,0.13531504358619556,0.056692723462057865,0.056112214987088065,SRD,dual_type,SRD-JiAn
SHCC278A,0.05600017989996558,-0.063198219,0.044945584892560314,SRD,dual_type,SRD-JiAn
SHCC279A,0.09480170234869609,-0.032422244,0.010355975145044528,SRD,dual_type,SRD-JiAn
